Station Code,Station Name,District,State,Trains passing through
MA,Madha,Solapur,Maharashtra,6
MAA,Maval,Sirohi,Rajasthan,0
MAAR,Malhar,Jodhpur,Rajasthan,2
MABA,Mandi Bamora,Sagar,Madhya Pradesh,23
MABB,Mabbi Halt,Samastipur,Bihar,0
MABD,Mahbubabad,Mahabubabad,Telangana,49
MABG,Matana Buzurg,Ujjain,Madhya Pradesh,0
MABN,Maban,Guna,Madhya Pradesh,0
MAC,Machiyala,#N/A,,0
MACR,Manguli Chowdwar,Cuttack,Odisha,0
MAD,Maddur,Mandya,Karnataka,27
MADA,Maonda,Sikar,Rajasthan,0
MADM,Matradham Halt,Seoni,Madhya Pradesh,0
MADP,Madhapur Road,Kutch,Gujarat,0
MADR,Madure,Sindhudurg,Maharashtra,14
MADU,Madduru,Kurnool,Andhra Pradesh,0
MAE,Matheran,Raigad,Maharashtra,0
MAEL,Mael,Ramgarh,Jharkhand,0
MAF,Manur,Thiruvallur,Tamil Nadu,0
MAG,Mangalagiri,Guntur,Andhra Pradesh,18
MAGH,Manikgarh,Chandrapur,Maharashtra,4
MAH,Madhoganj,Hardoi,Uttar Pradesh,0
MAHD,Mohadi Praganel,Bhandara,Maharashtra,0
MAHE,Mahe,Mahe,Puduchery,22
MAHO,Maholi,Sitapur,Uttar Pradesh,1
MAI,Mehsi,Purba Champaran,Bihar,17
MAJ,Majhergram,Nadia,West Bengal,0
MAJN,Mangalore Jn,Dakshina Kannada,Karnataka,87
MAK,Mallikpur,South 24 Parganas,West Bengal,0
MAKH,Mokhampura,Ajmer,Rajasthan,0
MAKM,Mararikulam,Alappuzha,Kerala,8
MAKP,Manikpura Halt,Agra,Uttar Pradesh,0
MAKR,Malkheri,Sagar,Madhya Pradesh,24
MAL,Mal Jn,Jalpaiguri,West Bengal,0
MALA,Mala,Pilibhit,Uttar Pradesh,0
MALB,Maliya Miyana,Morbi,Gujarat,14
MALK,Malkapur Road,Betul,Madhya Pradesh,0
MALM,Manthralayam Rd,Kurnool,Andhra Pradesh,60
MALR,Mallur,Salem,Tamil Nadu,2
MALX,Maliya,Morbi,Gujarat,0
MAM,Mangal Mahudi,Dahod,Gujarat,1
MAN,Mani Nagar,Ahmadabad,Gujarat,36
MANA,Mana,Akola,Maharashtra,0
MAND,Mandurai,Tiruchirappalli,Tamil Nadu,0
MANE,Maneswar,Sambalpur,Odisha,0
MANG,Mahanagar,Malda,West Bengal,1
MANI,Mani Halt,Rohtas,Bihar,0
MANK,Manki,Uttara Kannada,Karnataka,0
MANR,Mansarovar,Raigad,Maharashtra,0
MANS,Mansar,Nagpur,Maharashtra,0
MANU,Manu,Dhalai,Tripura,2
MANW,Manwa,Sitapur,Uttar Pradesh,0
MAO,Madgaon,South Goa,Goa,109
MAP,Morappur,Dharmapuri,Tamil Nadu,16
MAQ,Mangalore Cntl,Dakshina Kannada,Karnataka,46
MAR,Mulanur,Chittoor,Andhra Pradesh,4
MARD,Mavur Road,Thiruvarur,Tamil Nadu,2
MAS,Mgr Chennai Central,Chennai,Tamil Nadu,179
MASK,Maisar Khana,Bathinda,Punjab,0
MASS,Mass,#N/A,,0
MATK,Matyakheri,#N/A,,0
MAU,Mau Jn,Mau,Uttar Pradesh,48
MAUL,Maula Ali,Kapurthala,Punjab,0
MAUR,Maur,Bathinda,Punjab,12
MAV,Mariammankovil,Thanjavur,Tamil Nadu,0
MAW,Machai Siding,#N/A,,0
MAX,Mangudi,Tirunelveli,Tamil Nadu,2
MAY,Mariahu,Jaunpur,Uttar Pradesh,12
MAYA,Makakhad,Gandhinagar,Gujarat,0
MAYP,Mayapur,Hooghly,West Bengal,0
MAYR,Mayar,Hisar,Haryana,0
MAZ,Mangra,Latehar,Jharkhand,0
MB,Moradabad,Moradabad,Uttar Pradesh,208
MBA,Mahoba,Mahoba,Uttar Pradesh,20
MBB,Murshidabad,Murshidabad,West Bengal,6
MBC,Mahananda Bridge,Malda,West Bengal,0
MBCA,Mahananda A Cabin,Malda,West Bengal,0
MBCB,Mahananda B Cabin,Malda,West Bengal,0
MBCT,Moradabad City,Moradabad,Uttar Pradesh,0
MBD,Mustabada,Krishna,Andhra Pradesh,1
MBE,Mirzapur Bankipur,Hooghly,West Bengal,0
MBF,Munabao,Barmer,Rajasthan,2
MBG,Maibang,Dima Hasao,Assam,6
MBGA,Marwar Bagra,Jalore,Rajasthan,0
MBH,Mobha Road,Vadodara,Gujarat,0
MBI,Madhubani,Madhubani,Bihar,24
MBL,Manubolu,Sri Potti Sriramulu Nellore,Andhra Pradesh,0
MBM,Mambalam,Chennai,Tamil Nadu,23
MBNL,Marwar Bhinmal,Jalore,Rajasthan,10
MBNR,Mahbubnagar,Mahabubnagar,Telangana,46
MBO,Mairabari,Morigaon,Assam,0
MBP,Mohibullapur,Lucknow,Uttar Pradesh,2
MBQ,Mumbra,Thane,Maharashtra,0
MBS,Madhosingh,Bhadohi,Uttar Pradesh,5
MBSK,Marwar Balia,Nagaur,Rajasthan,1
MBT,Marwar Birthi,Jodhpur,Rajasthan,0
MBU,Melpattam Bakkam,Cuddalore,Tamil Nadu,0
MBV,Mirzapur Bachhaud,Mahendragarh,Haryana,0
MBW,Malwara,Jalore,Rajasthan,0
MBWC,Moradabad West,Moradabad,Uttar Pradesh,0
MBY,Mandi Dabwali,Sirsa,Haryana,16
MC,Mandapam Camp,Ramanathapuram,Tamil Nadu,0
MCA,Mecheda,Purba Medinipur,West Bengal,21
MCC,Mumbai Central,Mumbai Suburban,Maharashtra,0
MCE,Mochia,#N/A,,0
MCF,Manik Chauree Halt,Raipur,Chhatisgarh,0
MCI,Manchiryal,Mancherial,Telangana,61
MCJ,Manjattidal,Tiruchirappalli,Tamil Nadu,0
MCL,Madimangalam,Tiruvannamalai,Tamil Nadu,0
MCLA,Macherla,Guntur,Andhra Pradesh,0
MCLE,Manchili,West Godavari,Andhra Pradesh,2
MCN,Mukundarayapurm,Vellore,Tamil Nadu,10
MCO,Motihari Court,Purba Champaran,Bihar,0
MCPE,Marwar Chapri,Nagaur,Rajasthan,0
MCPK,Chepauk,Chennai,Tamil Nadu,0
MCPT,Chintadripet,Chennai,Tamil Nadu,0
MCQ,Mirchadhori,Sonbhadra,Uttar Pradesh,4
MCRD,Mecheri Road,Salem,Tamil Nadu,1
MCS,Mancheswar,Khordha,Odisha,16
MCSC,Chhatarpur,Chhatarpur,Madhya Pradesh,4
MCSK,Maheshpur Halt,Koderma,Jharkhand,0
MCU,Mulacalacheruvu,Chittoor,Andhra Pradesh,7
MCV,Macharya,Moradabad,Uttar Pradesh,0
MCVM,Machavaram,Guntur,Andhra Pradesh,0
MCY,Machriawan,Patna,Bihar,0
MCZ,Mahabuang,Simdega,Jharkhand,0
MD,Madar,Ajmer,Rajasthan,0
MDA,Mandhana Jn,Kanpur Nagar,Uttar Pradesh,0
MDB,Mandor,Jodhpur,Rajasthan,3
MDBP,Madhabpur,South 24 Parganas,West Bengal,0
MDC,Makardaha,Howrah,West Bengal,0
MDCR,Masaudhi Court Halt,Patna,Bihar,0
MDD,Malad,Mumbai Suburban,Maharashtra,0
MDDG,Malad Gaon,Pune,Maharashtra,0
MDDP,Mandi Dip,Raisen,Madhya Pradesh,6
MDE,Makhdumpur Gaya,Jehanabad,Bihar,8
MDF,Muradi,Purulia,West Bengal,4
MDG,Mandal Ghat,Jalpaiguri,West Bengal,0
MDGB,Madhabnagar Halt,South 24 Parganas,West Bengal,0
MDGR,Manendragarh,Koriya,Chhatisgarh,1
MDH,Mandhar,Raipur,Chhatisgarh,0
MDHA,Madhada,Bhavnagar,Gujarat,0
MDJ,Muhammadganj,Palamu,Jharkhand,10
MDJN,Madar Jn,Ajmer,Rajasthan,4
MDKD,Madhukunda,Purulia,West Bengal,4
MDKI,Madukarai,Coimbatore,Tamil Nadu,0
MDKL,Mandiyai Kalan(,#N/A,,0
MDKM,Madattukulam,Tiruppur,Tamil Nadu,2
MDKU,Modukuru,Guntur,Andhra Pradesh,0
MDL,Mandal,Bhilwara,Rajasthan,4
MDLA,Mundlana,Sonipat,Haryana,0
MDLE,Mandar Hill,Banka,Bihar,2
MDLL,Muddalingahalli,Bangalore Rural,Karnataka,0
MDLM,Mundalaram,Ratlam,Madhya Pradesh,0
MDN,Midnapore,Paschim Medinipur,West Bengal,43
MDNP,Madanpur Halt,Dumka,Jharkhand,0
MDNR,Modinagar,Ghaziabad,Uttar Pradesh,18
MDP,Madhupur Jn,Deoghar,Jharkhand,110
MDPA,Mandpiya,Bhilwara,Rajasthan,0
MDPB,Madhopur Punjab,Pathankot,Punjab,3
MDPD,Mandapadu,Guntur,Andhra Pradesh,0
MDPI,Madugulapalli,Visakhapatnam,Andhra Pradesh,0
MDPJ,Madanapur Halt,Nanded,Maharashtra,0
MDPLI,Medipalli,Jagtial,Telangana,0
MDPR,Modpur,Jamnagar,Gujarat,0
MDR,Madhira,Khammam,Telangana,31
MDRA,Medra,Ahmadabad,Gujarat,0
MDRR,Madhavnagar Roa,Katni,Madhya Pradesh,1
MDRW,Murdeshwar,Uttara Kannada,Karnataka,0
MDS,Mandasor,Mandsaur,Madhya Pradesh,33
MDSA,Modasa,Sabarkantha,Gujarat,0
MDSE,Madhu Sudanpur,Hooghly,West Bengal,0
MDT,Madarihat,Alipurduar,West Bengal,2
MDU,Madurai Jn,Madurai,Tamil Nadu,93
MDUN,Madhura Nagar,Krishna,Andhra Pradesh,0
MDVB,Mandar Vidyapith Halt,Banka,Bihar,0
MDVE,Mahendra Vadi,Vellore,Tamil Nadu,0
MDVH,Mandar Vidyapith Halt,Banka,Bihar,0
MDVK,Mahadeokhedi,Sagar,Madhya Pradesh,2
MDVL,Mandavalli,Krishna,Andhra Pradesh,2
MDVR,Madhavnagar,Sangli,Maharashtra,0
MDW,Marwar Mundwa,Nagaur,Rajasthan,6
MDXR,Mudaria,Shahdol,Madhya Pradesh,0
ME,Masaipet,Medak,Telangana,0
MEC,Merta City,Nagaur,Rajasthan,0
MED,Medchal,Medchal Malkajgiri,Telangana,12
MEE,Methai,Madhepura,Bihar,0
MEG,Meleng,Jorhat,Assam,0
MEGN,Mehgaon,Satna,Madhya Pradesh,0
MEH,Melalathur,Vellore,Tamil Nadu,2
MEI,Milakpur Halt,#N/A,,0
MEJ,Vanchimaniyachi,Thoothukkudi,Tamil Nadu,35
MEKM,Melakkonnakkulm,Sivaganga,Tamil Nadu,0
MEL,Mumbai Marine Lines,Mumbai Suburban,Maharashtra,0
MELH,Melusar,Churu,Rajasthan,0
MEM,Mau Aimma,Prayagraj,Uttar Pradesh,4
MENP,Meenapur,Katihar,Bihar,0
MEP,Mahidpur Road,Nagda,Madhya Pradesh,12
MEQ,Malethu Kanak,Ayodhya,Uttar Pradesh,2
MER,Metpanjra,Nagpur,Maharashtra,0
MES,Madurai East,Madurai,Tamil Nadu,0
MESR,Mesra,Ranchi,Jharkhand,0
MET,Malerkotla,Sangrur,Punjab,17
METR,Methi Tikur,Unnao,Uttar Pradesh,0
MEU,Mendu,Hathras,Uttar Pradesh,2
MEW,Marhaura,Saran,Bihar,2
MEX,Mukerian,Hoshiarpur,Punjab,25
MFA,Makuria,Katihar,Bihar,0
MFB,Mustafabad,Yamunanagar,Haryana,2
MFC,Monabari,Biswanath,Assam,2
MFCK,Mustapha Chak,Purba Bardhaman,West Bengal,0
MFH,Mahrauli,Ghaziabad,Uttar Pradesh,0
MFJ,Muftiganj,Jaunpur,Uttar Pradesh,2
MFKA,Musafir Khana,Amethi,Uttar Pradesh,24
MFL,Misrauli,Amethi,Uttar Pradesh,3
MFM,Mahalam,Ferozepur,Punjab,0
MFP,Muzaffarpur Jn,Muzaffarpur,Bihar,126
MFQ,Mahroi,Umaria,Madhya Pradesh,2
MFR,Mandla Fort,Mandla,Madhya Pradesh,0
MFX,Madaraha,Prayagraj,Uttar Pradesh,1
MFZ,Malahar,Malda,West Bengal,0
MG,Modelgram,Ludhiana,Punjab,2
MGAE,Morgram,Murshidabad,West Bengal,6
MGB,Mudigubba,Anantapur,Andhra Pradesh,5
MGC,Mugat,Nanded,Maharashtra,0
MGD,Mugad,Dharwad,Karnataka,0
MGDR,Magardharra Ph,Balaghat,Madhya Pradesh,0
MGE,Migrendisa,Dima Hasao,Assam,0
MGF,Mandagere,Mandya,Karnataka,4
MGG,Mangliya Gaon,Indore,Madhya Pradesh,2
MGHP,Meghpur,Morbi,Gujarat,0
MGI,Manigachi,Darbhanga,Bihar,0
MGK,Mulangunnathukavu,Thrissur,Kerala,0
MGKM,Mungaiakami,Khowai,Tripura,2
MGKP,Mansingh Ka Pura Halt,Etawah,Uttar Pradesh,0
MGL,Mangela,Bagalkot,Karnataka,2
MGLE,Manigram,Murshidabad,West Bengal,2
MGLI,Mangli,Chandrapur,Maharashtra,0
MGLP,Mangolpuri,North West,Delhi,1
MGM,Muragacha,Nadia,West Bengal,1
MGME,Mccluskieganj,Ranchi,Jharkhand,6
MGMY,Mughal Sarai Marshaling Yard,Chandauli,Uttar Pradesh,0
MGN,Meghnagar,Jhabua,Madhya Pradesh,41
MGO,Mahisgaon,Solapur,Maharashtra,0
MGP,Mahadeopur Ghat,Jayashankar Bhupapally,Telangana,0
MGPA,Munda Gopal Ashram,Sitapur,Uttar Pradesh,0
MGPI,Mangarpatti Halt,Madhubani,Bihar,0
MGPM,Mangapuram,Khammam,Telangana,0
MGR,Munger,Munger,Bihar,7
MGRD,Magardoh,Betul,Madhya Pradesh,0
MGRL,Mangrolla,Surat,Gujarat,0
MGRP,Megh Raj Pura,Kangra,Himachal Pradesh,0
MGRR,Magarpur,Jhansi,Uttar Pradesh,1
MGS,Mughal Sarai Jn,Chandauli,Uttar Pradesh,1
MGSJ,Magnesite Jn,Salem,Tamil Nadu,0
MGSO,Mughal Sarai Outer,Chandauli,Uttar Pradesh,0
MGT,Magra Hat,South 24 Parganas,West Bengal,0
MGTD,Meghpur Titodi,Devbhoomi Dwarka,Gujarat,0
MGV,Molagavalli,Kurnool,Andhra Pradesh,0
MGVK,Malegaon Vyenku,Nagpur,Maharashtra,0
MGW,Magarwara,Unnao,Uttar Pradesh,0
MGWD,Mahngarwal Doaba,Hoshiarpur,Punjab,0
MGWN,Mahgawan Halt,Jaunpur,Uttar Pradesh,1
MGX,Mailongdisa,Cachar,Assam,0
MGZ,Maharajganj,Siwan,Bihar,0
MH,Mahuri Halt,Nalanda,Bihar,0
MHA,Marahra,Kasganj,Uttar Pradesh,2
MHAD,Mohadi Progane Laling,Dhule,Maharashtra,1
MHBA,Mathabhanga,Cooch Behar,West Bengal,6
MHBG,Mahadeva Buzrug,Siddharthnagar,Uttar Pradesh,0
MHBT,Mahbubnagar Town Halt,Mahabubnagar,Telangana,1
MHBZ,Mahtha Bazar,Siddharthnagar,Uttar Pradesh,0
MHC,Masrakh,Saran,Bihar,2
MHD,Mahemdavad Kheda Rd,Kheda,Gujarat,26
MHDA,Mahdeiya,Singrauli,Madhya Pradesh,0
MHDB,Mahadia Ph,Dhenkanal,Odisha,0
MHDP,Mahadevpara,Sabarkantha,Gujarat,0
MHE,Mayen,#N/A,,0
MHF,Mohari Junction,Dholpur,Rajasthan,0
MHH,Maghar,Sant Kabir Nagar,Uttar Pradesh,10
MHHR,Mahesra,Amroha,Uttar Pradesh,0
MHI,Manihari,Katihar,Bihar,4
MHJ,Mahajan,Bikaner,Rajasthan,12
MHKT,Mohkhuti,Sivasagar,Assam,0
MHL,Mahwal,Muzaffarpur,Bihar,0
MHLC,Monkey Hill,Pune,Maharashtra,0
MHLN,Mahendralal Nagar,Howrah,West Bengal,0
MHLT,Mahesh Leta Halt,Lakhisarai,Bihar,0
MHMB,Mahimba,Nanded,Maharashtra,0
MHN,Mahanadi,Darjeeling,West Bengal,1
MHND,Mohandi,Durg,Chhatisgarh,0
MHO,Mahpur,Ghazipur,Uttar Pradesh,4
MHOW,Mhow,Indore,Madhya Pradesh,2
MHP,Muhammadpur,Darbhanga,Bihar,0
MHPE,Mhope,Raigad,Maharashtra,2
MHPR,Mahiyarpur,Katihar,Bihar,4
MHQ,Mahuda,Dhanbad,Jharkhand,7
MHRA,Mohera,#N/A,,0
MHRG,Mahendragarh,Mahendragarh,Haryana,16
MHRI,Machhrauli,Jhajjar,Haryana,0
MHRL,Mahrail,Madhubani,Bihar,0
MHRN,Mahendranath,Siwan,Bihar,0
MHSA,Maheshpur A Cabin,Koderma,Jharkhand,0
MHSP,Mahespur,Birbhum,West Bengal,0
MHT,Manjhi,Saran,Bihar,2
MHTR,Malihati Talibpur Road,Murshidabad,West Bengal,0
MHU,Manheru,Bhiwani,Haryana,0
MHUA,Mahudha,Kheda,Gujarat,0
MHUL,Mehuwala Halt,Fatehabad,Haryana,0
MHUR,Mohanpur,Deoghar,Jharkhand,0
MHV,Mahuva Jn,Bhavnagar,Gujarat,6
MHWL,Machrowar,Jalandhar,Punjab,0
MIA,Mania,Dholpur,Rajasthan,0
MIAL,Milaoli,Gwalior,Madhya Pradesh,0
MIAN,Miangram,Murshidabad,West Bengal,0
MIB,Nagpur Moti Bagh,Nagpur,Maharashtra,0
MID,Madhi,Surat,Gujarat,2
MIDP,Mamidipalle,Nizamabad,Telangana,0
MIG,Midghat,Hoshangabad,Madhya Pradesh,0
MIH,Mihrawan,Jaunpur,Uttar Pradesh,2
MIJ,Majhdia,Nadia,West Bengal,0
MIK,Manikul,Saraikela Kharsawan,Jharkhand,0
MIL,Milak,Rampur,Uttar Pradesh,8
MILA,Milakpur Halt,Shahjahanpur,Uttar Pradesh,0
MILE,Mile Fiveb,Kolkata,West Bengal,0
MIM,Maniram,Gorakhpur,Uttar Pradesh,2
MIN,Mihinpurwa,Bahraich,Uttar Pradesh,1
MINA,Miyana,Guna,Madhya Pradesh,2
MINJ,Maikalganj,Lakhimpur Kheri,Uttar Pradesh,6
MIO,Molisar,Churu,Rajasthan,2
MIP,Mirpur,#N/A,,0
MIPM,Marripalem,Visakhapatnam,Andhra Pradesh,2
MIQ,Mirhakur,Agra,Uttar Pradesh,1
MIR,Maijapur,Gonda,Uttar Pradesh,0
MIRA,Mira Road,Mumbai Suburban,Maharashtra,0
MITA,Mitha,Banas Kantha,Gujarat,0
MIU,Maripat,Gautam Buddha Nagar,Uttar Pradesh,2
MIW,Mighauna,Pilibhit,Uttar Pradesh,0
MIX,Manipuram Cabin,Guntur,Andhra Pradesh,0
MIYN,Maniyan,Katihar,Bihar,0
MJ,Marwar Jn,Pali,Rajasthan,89
MJA,Meja Road,Prayagraj,Uttar Pradesh,10
MJBK,Manjari Budruk,Pune,Maharashtra,3
MJBT,Majbat,Darrang,Assam,4
MJE,Mujnal,Jalpaiguri,West Bengal,0
MJF,Malkajgiri,Hyderabad,Telangana,30
MJG,Majhagawan,Satna,Madhya Pradesh,8
MJGP,Majhgawan Phata,Katni,Madhya Pradesh,0
MJH,Maju Ph,Howrah,West Bengal,0
MJHL,Majada Halt,Moradabad,Uttar Pradesh,0
MJHR,Majhiari,Prayagraj,Uttar Pradesh,1
MJKN,Majri Khadan,Chandrapur,Maharashtra,2
MJL,Majhowlia,Pashchim Champaran,Bihar,6
MJM,Manjhauligram H,Patna,Bihar,0
MJN,Makum Jn,Tinsukia,Assam,2
MJNL,Majri Nangal,Rewari,Haryana,0
MJO,Majorda,South Goa,Goa,0
MJP,Moharajpur,Sahibganj,Jharkhand,0
MJPB,Manjhara Purab,Lakhimpur Kheri,Uttar Pradesh,0
MJR,Minjur,Thiruvallur,Tamil Nadu,0
MJRI,Majri Jn,Chandrapur,Maharashtra,12
MJS,Manjeshwar,Kasaragod,Kerala,7
MJT,Majerhat,Howrah,West Bengal,1
MJTA,Majitha,Amritsar,Punjab,0
MJV,Manjhagarh,Gopalganj,Bihar,0
MJY,Maramjhiri,Betul,Madhya Pradesh,1
MJZ,Majhola Pakarya,Udham Singh Nagar,Uttarakhand,5
MK,Miranpur Katra,Shahjahanpur,Uttar Pradesh,2
MKA,Mokameh Jn,Patna,Bihar,101
MKAK,Mundaka K A Koil,#N/A,,0
MKB,Mankatha,Lakhisarai,Bihar,10
MKBH,Manwala Kot Bakhtu,Bathinda,Punjab,0
MKC,Maksi,Shajapur,Madhya Pradesh,56
MKCA,Maksi,Shajapur,Madhya Pradesh,0
MKD,Markundi,Banda,Uttar Pradesh,1
MKDD,Mukundwadi Halt,Aurangabad,Maharashtra,2
MKDI,Makudi,Chandrapur,Maharashtra,2
MKDN,Morkadhana,Chhindwara,Madhya Pradesh,0
MKG,Manak Nagar,Lucknow,Uttar Pradesh,0
MKH,Malakhera,Alwar,Rajasthan,8
MKHI,Makhi,Unnao,Uttar Pradesh,0
MKHR,Marwar Khara,Jodhpur,Rajasthan,0
MKHS,Mokar Halt,Rohtas,Bihar,0
MKI,Bapudham Motihari,Purba Champaran,Bihar,1
MKJ,Makkajipalli,Anantapur,Andhra Pradesh,0
MKK,Kodambakam,Chennai,Tamil Nadu,0
MKL,Maklidrug,Bangalore Rural,Karnataka,0
MKLI,Makrauli,Rohtak,Haryana,0
MKM,Marikuppam,Kolar,Karnataka,2
MKMP,Mokhampura,Jaipur,Rajasthan,0
MKN,Makrana Jn,Nagaur,Rajasthan,53
MKO,Markona,Balasore,Odisha,6
MKP,Manikpur Jn,Chitrakoot,Uttar Pradesh,73
MKPR,Muktapur,Samastipur,Bihar,0
MKPT,Malikpeth,Solapur,Maharashtra,0
MKR,Maddikera,Kurnool,Andhra Pradesh,6
MKRA,Makrera,Ajmer,Rajasthan,0
MKRD,Machhakunda,Koraput,Odisha,0
MKRH,Mallickpur Hat,Dakshin Dinajpur,West Bengal,1
MKRL,Moti Koral,Vadodara,Gujarat,0
MKRN,Makronia,Sagar,Madhya Pradesh,8
MKS,Muktsar,Sri Muktsar Sahib,Punjab,2
MKSP,Mukhasa Parur,Cuddalore,Tamil Nadu,0
MKSR,Mokalsar,Barmer,Rajasthan,10
MKT,Mukhtiar Balwar,Indore,Madhya Pradesh,0
MKTP,Muketashwar,Khordha,Odisha,1
MKU,Malkapur,Buldhana,Maharashtra,65
MKWI,Makadwali,Ajmer,Rajasthan,4
MKX,Morak,Kota,Rajasthan,8
MKY,Mekkudi,Tiruchirappalli,Tamil Nadu,0
MKZ,Mahkepar Road,Balaghat,Madhya Pradesh,0
ML,Malhour,Lucknow,Uttar Pradesh,1
MLAR,Malanpur,Bhind,Madhya Pradesh,4
MLB,Modnimb,Solapur,Maharashtra,6
MLBN,Mohalboni,#N/A,,0
MLBZ,Malbazar,Jalpaiguri,West Bengal,2
MLC,Malkisar,Bikaner,Rajasthan,0
MLD,Malihabad,Lucknow,Uttar Pradesh,6
MLDA,Maldatown,#N/A,,0
MLDE,Madlauda,Panipat,Haryana,0
MLDR,Melamarudur,Nagapattinam,Tamil Nadu,0
MLDT,Malda Town,Malda,West Bengal,118
MLFC,Malda Court,Malda,West Bengal,0
MLG,Malhargarh,Mandsaur,Madhya Pradesh,4
MLGH,Mandalgarh,Bhilwara,Rajasthan,6
MLGT,Mallappa Gate,Anantapur,Andhra Pradesh,0
MLH,Manaklao,Jodhpur,Rajasthan,0
MLHA,Maliya Hatina,Junagadh,Gujarat,12
MLHL,Mallenahalli,Chikkamagaluru,Karnataka,0
MLHS,Light House,Chennai,Tamil Nadu,0
MLI,Mangaliyawas,Ajmer,Rajasthan,0
MLIH,Mauli Halt,Kapurthala,Punjab,0
MLJ,Mohanlalganj,Lucknow,Uttar Pradesh,2
MLK,Malkapuram,Kurnool,Andhra Pradesh,0
MLKA,Maluka,Pashchimi Singhbhum,Jharkhand,0
MLKH,Mulewal Khaihra,Jalandhar,Punjab,0
MLKP,Malikpur,Farrukhabad,Uttar Pradesh,0
MLM,Malthan,Pune,Maharashtra,0
MLMG,Mallemadugu,Y.S.R.,Andhra Pradesh,2
MLMR,Melmaruvattur,Kanchipuram,Tamil Nadu,42
MLN,Mailani,Lakhimpur Kheri,Uttar Pradesh,1
MLND,Mulund,Mumbai Suburban,Maharashtra,0
MLNH,Malancha,Dakshin Dinajpur,West Bengal,1
MLNR,Gawada Malosan,Mahesana,Gujarat,0
MLO,Malur,Kolar,Karnataka,15
MLP,Mallapur,Gadag,Karnataka,4
MLPM,Melpakkam,Ranipet,Tamil Nadu,0
MLPR,Malipur,Ambedkar Nagar,Uttar Pradesh,18
MLQ,Malkhera Jn,Dhanbad,Jharkhand,0
MLQR,Milkapur Halt,Varanasi,Uttar Pradesh,0
MLR,Malkhed,Amravati,Maharashtra,0
MLS,Malasa,Kanpur Dehat,Uttar Pradesh,1
MLSA,Mallasandra,Tumakuru,Karnataka,0
MLSR,Malsar,Vadodara,Gujarat,0
MLSU,Malsailu,Hingoli,Maharashtra,0
MLT,Malatipatpur,Puri,Odisha,1
MLTR,Melattur,Malappuram,Kerala,2
MLU,Malugur,Anantapur,Andhra Pradesh,0
MLV,Mallarpur,Birbhum,West Bengal,8
MLW,Mallanwan,Hardoi,Uttar Pradesh,0
MLX,Mullanpur,Ludhiana,Punjab,2
MLY,Maula Ali,Hyderabad,Telangana,13
MLYA,Maliya,Hooghly,West Bengal,0
MLYC,Maula Ali,Medchal Malkajgiri,Telangana,0
MLYG,Mlyg,Medchal Malkajgiri,Telangana,0
MLYR,Melnariyapanur,Viluppuram,Tamil Nadu,0
MLZ,Malarna,Sawai Madhopur,Rajasthan,6
MM,Mumbai Mahim Jn,Mumbai Suburban,Maharashtra,0
MMA,Muhammadabad,Mau,Uttar Pradesh,18
MMB,Mahmudabad Avadh,Sitapur,Uttar Pradesh,4
MMC,Mahamandir,Jodhpur,Rajasthan,0
MMCC,Moore Market,Chennai,Tamil Nadu,1
MMCT,Mumbai Central,Mumbai Suburban,Maharashtra,43
MMD,Maheshmunda,Giridih,Jharkhand,0
MMDA,Muthalamada,Palakkad,Kerala,4
MMDL,Mohini Mandal(H,Sitamarhi,Bihar,0
MMDP,Mohamadpur,Nawada,Bihar,0
MME,Mul Marora,Chandrapur,Maharashtra,4
MMG,Madhyamgram,North 24 Parganas,West Bengal,0
MMH,Mahadanapuram,Karur,Tamil Nadu,1
MMI,Mariyamanahalli,Ballari,Karnataka,0
MMK,Madurantakam,Chengalpattu,Tamil Nadu,6
MMKB,Memrakhabad,Patna,Bihar,3
MML,Madan Mahal,Jabalpur,Madhya Pradesh,28
MMLN,Mahuamilan,Latehar,Jharkhand,0
MMM,Mandapam,Ramanathapuram,Tamil Nadu,12
MMNK,Maraimalam Nagar,Chengalpattu,Tamil Nadu,0
MMP,Mambalappattu Jn,Viluppuram,Tamil Nadu,0
MMPL,Mantapampalle,Y.S.R.,Andhra Pradesh,0
MMPR,Mamdapur,Yadadri Bhuvanagiri,Telangana,0
MMR,Manmad Jn,Nashik,Maharashtra,203
MMRB,Manmad B Cabin,Nashik,Maharashtra,0
MMS,Mandasa Road,Srikakulam,Andhra Pradesh,4
MMU,Mugma,Dhanbad,Jharkhand,2
MMV,Mahali Marup,Saraikela Kharsawan,Jharkhand,2
MMVR,Murga Mahadev Road,Kendujhar,Odisha,2
MMY,Marwar Mathanya,Jodhpur,Rajasthan,6
MMZ,Mandamari,Mancherial,Telangana,4
MN,Minambakkam,Chennai,Tamil Nadu,0
MNAE,Mankar,Purba Bardhaman,West Bengal,6
MNBD,Moinar Bond,#N/A,,0
MNC,Madankata,Deoghar,Jharkhand,1
MNCR,Monacherra,Hailakandi,Assam,0
MND,Munderwa,Basti,Uttar Pradesh,4
MNDA,Mandura,Akola,Maharashtra,0
MNDH,Mandir Hasaud,Raipur,Chhatisgarh,0
MNDP,Mendi Pathar,#N/A,,0
MNDR,Mandi Dhanaura,Amroha,Uttar Pradesh,7
MNDU,Mandu,Ramgarh,Jharkhand,0
MNDV,Mandawariya,Ajmer,Rajasthan,2
