Station Code,Station Name,District,State,Trains passing through
AKOR,Akalkot Road,Solapur,Maharashtra,4
AKOT,Akot,Akola,Maharashtra,0
AKP,Anakapalle,Visakhapatnam,Andhra Pradesh,72
AKR,Akolner,Ahmednagar,Maharashtra,0
AKRA,Akra,Howrah,West Bengal,0
AKRD,Akurdi,Pune,Maharashtra,0
AKS,Ankuspur,Ghazipur,Uttar Pradesh,0
AKSP,Anksapur,Nizamabad,Telangana,0
AKT,Akaltara,Janjgir Champa,Chhatisgarh,28
AKU,Angalakuduru,Guntur,Andhra Pradesh,0
AKV,Ankleshwar Jn,Bharuch,Gujarat,73
AKVD,Akividu,West Godavari,Andhra Pradesh,25
AKVU,Ankleshwar Udhy,Bharuch,Gujarat,0
AKW,Akora,Hamirpur,Uttar Pradesh,0
AKY,Akkurti,Chittoor,Andhra Pradesh,0
AKZ,Akashi,Lohardaga,Jharkhand,0
AL,Attili,West Godavari,Andhra Pradesh,12
ALAI,Alai,Nagaur,Rajasthan,0
ALAL,Alal,Sangrur,Punjab,0
ALAT,Avuladatla,Anantapur,Andhra Pradesh,0
ALAU,Alau,Botad,Gujarat,0
ALB,Alia Bada,Jamnagar,Gujarat,2
ALD,Allahabad Jn,Prayagraj,Uttar Pradesh,206
ALE,Amletha,Narmada,Gujarat,0
ALER,Aler,Yadadri Bhuvanagiri,Telangana,16
ALGP,Algapur,Hailakandi,Assam,0
ALH,Lucknow Wesh,#N/A,,0
ALI,Alai,Nagaur,Rajasthan,0
ALJ,Alai,Rampur,Uttar Pradesh,0
ALJN,Aligarh Jn,Aligarh,Uttar Pradesh,77
ALK,Alakkudi,Thanjavur,Tamil Nadu,0
ALL,Alal,Sangrur,Punjab,0
ALLP,Alleppey,Alappuzha,Kerala,55
ALM,Alamanda,Vizianagaram,Andhra Pradesh,2
ALMR,Alampur,Bhavnagar,Gujarat,0
ALMW,Almaw,Bhadohi,Uttar Pradesh,1
ALN,Alandi,Pune,Maharashtra,0
ALNI,Alniya,Kota,Rajasthan,2
ALNP,Akelahanspur Halt,Lakhimpur Kheri,Uttar Pradesh,0
ALP,Alapakam,Cuddalore,Tamil Nadu,0
ALPD,Adalpahari,Birbhum,West Bengal,0
ALPR,Alampur Road,Jogulamba Gadwal,Telangana,0
ALQ,Aulant,Rewari,Haryana,0
ALS,Amlori Sarsar,Siwan,Bihar,0
ALSR,Alisagar,#N/A,,0
ALU,Ariyalur,Ariyalur,Tamil Nadu,33
ALUR,Alur Halt,Hassan,Karnataka,0
ALV,Anklav,Anand,Gujarat,0
ALW,Alwal,Medchal Malkajgiri,Telangana,0
ALY,Allahabad City,Prayagraj,Uttar Pradesh,24
AMA,Atamanda,Bareilly,Uttar Pradesh,0
AMAN,Aman Lodge,#N/A,,0
AMB,Ambodala,Rayagada,Odisha,18
AMBG,Arambagh P C Sen,Hooghly,West Bengal,0
AMBR,Ambika Rohina,Latur,Maharashtra,0
AMBT,Ambaltek,#N/A,,0
AMC,Amritapura,Chitradurga,Karnataka,0
AMD,Amila,Mau,Uttar Pradesh,0
AMDI,Amdi Halt,Nagpur,Maharashtra,0
AME,Amethi,Amethi,Uttar Pradesh,49
AMG,Alamnagar,Lucknow,Uttar Pradesh,16
AMGA,Amjonga,Goalpara,Assam,2
AMH,Azamgarh,Azamgarh,Uttar Pradesh,26
AMI,Amravati,Amravati,Maharashtra,14
AMIC,Amravati Coach Yard,Amravati,Maharashtra,0
AMIN,Amin,Kurukshetra,Haryana,0
AMJ,Amin Gaon,Kamrup Metropolitan,Assam,0
AML,Amalsad,Navsari,Gujarat,12
AMLA,Amla Jn,Betul,Madhya Pradesh,45
AMLI,Amli,Sawai Madhopur,Rajasthan,2
AMLO,Amlo,Bokaro,Jharkhand,0
AMLP,Amalpur,Vadodara,Gujarat,0
AMLR,Amala Nagar,Thrissur,Kerala,0
AMLX,Amla Yard,Betul,Madhya Pradesh,0
AMM,Atirampattinam,Thanjavur,Tamil Nadu,2
AMN,Amin,Kurukshetra,Haryana,0
AMNA,Aman Lodge,#N/A,,0
AMNR,Ammanur,Thiruvarur,Tamil Nadu,2
AMO,Amolwa,Pashchim Champaran,Bihar,0
AMOD,Amod,Bharuch,Gujarat,0
AMP,Ahmadpur Jn,Birbhum,West Bengal,25
AMPA,Ambalapuzha,Alappuzha,Kerala,20
AMPL,Ammapalli Halt,Bhagalpur,Bihar,0
AMPR,Amarpura Rathan,Hanumangarh,Rajasthan,0
AMQ,Ammuguda,Hyderabad,Telangana,0
AMRI,Anaj Mandi,Rewari,Haryana,0
AMRO,Amroha,Amroha,Uttar Pradesh,42
AMS,Amausi,Lucknow,Uttar Pradesh,0
AMSA,Ammasandra,Tumakuru,Karnataka,3
AMT,Ammapet,Thanjavur,Tamil Nadu,0
AMV,Lucknow Alambagh,Lucknow,Uttar Pradesh,0
AMVA,Amaravila Halt,Thiruvananthapuram,Kerala,0
AMW,Aman Vadi,Washim,Maharashtra,0
AMX,Amlakhurd,Burhanpur,Madhya Pradesh,0
AMY,Akathumuri,Thiruvananthapuram,Kerala,0
AMZ,Amta,Howrah,West Bengal,0
AN,Amalner,Jalgaon,Maharashtra,44
ANA,Aslana,Damoh,Madhya Pradesh,4
ANAH,Aunta Halt,Patna,Bihar,1
ANAS,Anas,Dahod,Gujarat,2
ANB,Ammanabrolu,Prakasam,Andhra Pradesh,6
ANC,Annechakanahali,Hassan,Karnataka,0
ANCR,Anchuri,Bankura,West Bengal,0
AND,Andampaliam,Tiruvannamalai,Tamil Nadu,0
ANDI,Adarsh Nagar Delhi,North West,Delhi,3
ANDN,Anand Nagar,Maharajganj,Uttar Pradesh,22
ANE,Anantarajupet,Y.S.R.,Andhra Pradesh,0
ANF,Anandapuram,Shivamogga,Karnataka,8
ANG,Ahmednagar,Ahmednagar,Maharashtra,60
ANGL,Angul,Angul,Odisha,48
ANGM,Aungari Dham,Nalanda,Bihar,0
ANGR,Angadgeri Halt,Vijayapura,Karnataka,2
ANH,Ankorah Akorha,Aurangabad,Bihar,10
ANI,Ajanti,Khandwa,Madhya Pradesh,0
ANJ,Anjangaon,Amravati,Maharashtra,0
ANJE,Angarpathra Halt,Dhanbad,Jharkhand,0
ANK,Ankai,Nashik,Maharashtra,2
ANKI,Anakhi,Bharuch,Gujarat,0
ANKL,Ankola,Uttara Kannada,Karnataka,10
ANKX,Ank Mmr Direct,#N/A,,0
ANKY,Ankai,#N/A,,0
ANL,Antroli,Vadodara,Gujarat,0
ANM,Anaimalai Road,Coimbatore,Tamil Nadu,0
ANMD,Arang Mahanadi,Raipur,Chhatisgarh,0
ANND,Anand Jn,Anand,Gujarat,183
ANNR,Annanur,Thiruvallur,Tamil Nadu,0
ANO,Anjani,Ratnagiri,Maharashtra,2
ANP,Anandtandavpur,Nagapattinam,Tamil Nadu,0
ANPM,Anupalem,Guntur,Andhra Pradesh,0
ANPR,Anpara,Sonbhadra,Uttar Pradesh,4
ANQ,Amnapur,Sangli,Maharashtra,0
ANR,Anara,Purulia,West Bengal,17
ANSB,Anandpur Sahib,Rupnagar,Punjab,12
ANT,Anantnag,#N/A,,0
ANTU,Antu,Pratapgarh,Uttar Pradesh,10
ANU,Anangur,Namakkal,Tamil Nadu,0
ANV,Annavaram,East Godavari,Andhra Pradesh,36
ANVR,Anand Vihar,East,Delhi,2
ANVT,Anand Vihar Trm,East,Delhi,102
ANW,Anawal,Navsari,Gujarat,0
ANY,Arumuganeri,Thoothukkudi,Tamil Nadu,2
ANZ,Anattidal,#N/A,,0
AO,Aonla,Bareilly,Uttar Pradesh,18
AON,Araon,Firozabad,Uttar Pradesh,0
AONI,Amoni,Nagaon,Assam,6
AOR,Argora,Ranchi,Jharkhand,0
AP,Ashokapuram,Mysuru,Karnataka,4
APA,Amarpura,Ajmer,Rajasthan,0
